epoch,p1x,p1y,p1z,p2x,p2y,p2z
1,8.0,11.0,3.0,23.0,18.0,29.0
2,8.0,11.0,3.0,23.0,18.0,29.0
3,23.0,19.0,29.0,8.0,11.0,3.0
4,8.0,11.0,3.0,23.0,19.0,29.0
5,8.0,11.0,3.0,23.0,19.0,29.0
6,8.0,11.0,3.0,23.0,18.0,29.0
7,8.0,12.0,3.0,23.0,18.0,29.0
8,8.0,11.0,3.0,23.0,19.0,29.0
9,23.0,19.0,29.0,8.0,11.0,3.0
10,8.0,11.0,3.0,23.0,19.0,29.0
11,8.0,11.0,3.0,23.0,19.0,29.0
12,23.0,19.0,29.0,8.0,11.0,3.0
13,8.0,11.0,3.0,23.0,19.0,29.0
14,23.0,18.0,29.0,8.0,11.0,3.0
15,8.0,11.0,3.0,23.0,19.0,29.0
16,8.0,11.0,3.0,23.0,19.0,29.0
17,23.0,18.0,29.0,8.0,11.0,3.0
18,8.0,11.0,3.0,23.0,19.0,29.0
19,23.0,19.0,29.0,8.0,11.0,3.0
20,8.0,11.0,3.0,23.0,19.0,29.0
21,8.0,11.0,3.0,23.0,19.0,29.0
22,8.0,11.0,3.0,23.0,19.0,29.0
23,8.0,11.0,3.0,23.0,19.0,29.0
24,8.0,11.0,3.0,23.0,19.0,29.0
25,8.0,11.0,3.0,23.0,19.0,29.0
26,23.0,19.0,29.0,8.0,11.0,3.0
27,8.0,11.0,3.0,23.0,19.0,29.0
28,8.0,11.0,3.0,23.0,19.0,29.0
29,8.0,11.0,3.0,23.0,19.0,29.0
30,23.0,19.0,29.0,8.0,11.0,3.0
31,23.0,19.0,29.0,8.0,11.0,3.0
32,8.0,11.0,3.0,23.0,19.0,29.0
33,21.0,19.0,30.0,10.0,11.0,2.0
34,10.0,11.0,2.0,21.0,19.0,30.0
35,13.0,11.0,1.0,18.0,19.0,31.0
36,17.0,9.0,2.0,13.0,21.0,30.0
37,13.0,10.0,2.0,17.0,19.0,31.0
38,14.0,10.0,2.0,15.0,20.0,31.0
39,14.0,11.0,1.0,17.0,19.0,31.0
40,13.0,11.0,1.0,19.0,19.0,30.0
41,13.0,11.0,1.0,18.0,19.0,31.0
42,13.0,11.0,1.0,18.0,19.0,31.0
43,14.0,11.0,1.0,16.0,19.0,31.0
44,13.0,13.0,1.0,17.0,17.0,31.0
45,13.0,12.0,1.0,17.0,17.0,31.0
46,13.0,15.0,1.0,17.0,14.0,31.0
47,13.0,16.0,1.0,17.0,14.0,31.0
48,15.0,16.0,1.0,14.0,13.0,31.0
49,14.0,13.0,1.0,16.0,16.0,31.0
50,15.0,16.0,1.0,14.0,14.0,31.0
51,14.0,14.0,1.0,15.0,16.0,31.0
52,13.0,16.0,1.0,16.0,13.0,31.0
53,14.0,16.0,1.0,15.0,13.0,31.0
54,14.0,14.0,1.0,16.0,15.0,31.0
55,14.0,14.0,1.0,16.0,16.0,31.0
56,14.0,14.0,1.0,16.0,15.0,31.0
57,14.0,16.0,1.0,15.0,13.0,31.0
58,13.0,15.0,1.0,16.0,13.0,31.0
59,13.0,14.0,1.0,17.0,15.0,31.0
60,13.0,14.0,1.0,16.0,16.0,31.0
61,14.0,14.0,1.0,15.0,16.0,31.0
62,14.0,13.0,1.0,15.0,17.0,31.0
63,14.0,16.0,1.0,16.0,13.0,31.0
64,16.0,14.0,1.0,14.0,16.0,31.0
65,14.0,13.0,1.0,16.0,16.0,31.0
66,14.0,13.0,1.0,15.0,17.0,31.0
67,13.0,15.0,1.0,16.0,13.0,31.0
68,16.0,14.0,1.0,14.0,16.0,31.0
69,14.0,16.0,1.0,15.0,13.0,31.0
